Store,Category,Sku,Week,weeks,Weeks,WeekInDayFmt,ActualSales,BackCover,BOGO,Broad,Featured,FrontCover,GrandOpening,HourSales,Mailer,Pictured,Rebate,Tab,Unadvertised,holiday
2,COFFEE/CREAMERS 0833,1383769,10/29/2005,1,43,20051029,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,COFFEE/CREAMERS 0833,1383769,11/5/2005,2,44,20051105,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,COFFEE/CREAMERS 0833,1383769,11/12/2005,3,45,20051112,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,COFFEE/CREAMERS 0833,1383769,11/19/2005,4,46,20051119,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,COFFEE/CREAMERS 0833,1383769,11/26/2005,5,47,20051126,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,COFFEE/CREAMERS 0833,1383769,12/3/2005,6,48,20051203,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,COFFEE/CREAMERS 0833,1383769,12/10/2005,7,49,20051210,12,0,0,0,0,0,0,0,0,0,0,0,0,1
2,COFFEE/CREAMERS 0833,1383769,12/17/2005,8,50,20051217,2,0,0,0,0,0,0,0,0,0,0,0,0,1
2,COFFEE/CREAMERS 0833,1383769,12/24/2005,9,51,20051224,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,COFFEE/CREAMERS 0833,1383769,12/31/2005,10,52,20051231,2,0,0,0,0,0,0,0,0,0,0,0,0,1
2,COFFEE/CREAMERS 0833,1383769,1/7/2006,11,1,20060107,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,COFFEE/CREAMERS 0833,1383769,1/14/2006,12,2,20060114,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,COFFEE/CREAMERS 0833,1383769,1/21/2006,13,3,20060121,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,COFFEE/CREAMERS 0833,1383769,1/28/2006,14,4,20060128,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2,COFFEE/CREAMERS 0833,1383769,2/4/2006,15,5,20060204,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,COFFEE/CREAMERS 0833,1383769,2/11/2006,16,6,20060211,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,COFFEE/CREAMERS 0833,1383769,2/18/2006,17,7,20060218,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,COFFEE/CREAMERS 0833,1383769,2/25/2006,18,8,20060225,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,COFFEE/CREAMERS 0833,1383769,3/4/2006,19,9,20060304,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,COFFEE/CREAMERS 0833,1383769,3/11/2006,20,10,20060311,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,COFFEE/CREAMERS 0833,1383769,3/18/2006,21,11,20060318,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,COFFEE/CREAMERS 0833,1383769,3/25/2006,22,12,20060325,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,COFFEE/CREAMERS 0833,1383769,4/1/2006,23,13,20060401,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,COFFEE/CREAMERS 0833,1383769,4/8/2006,24,14,20060408,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,COFFEE/CREAMERS 0833,1383769,4/15/2006,25,15,20060415,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2,COFFEE/CREAMERS 0833,1383769,4/22/2006,26,16,20060422,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,COFFEE/CREAMERS 0833,1383769,4/29/2006,27,17,20060429,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2,COFFEE/CREAMERS 0833,1383769,5/6/2006,28,18,20060506,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,COFFEE/CREAMERS 0833,1383769,5/13/2006,29,19,20060513,0,0,0,0,0,0,0,0,7,0,7,0,0,0
2,COFFEE/CREAMERS 0833,1383769,5/20/2006,30,20,20060520,1,0,0,0,0,0,0,0,7,0,7,0,0,1
2,COFFEE/CREAMERS 0833,1383769,5/27/2006,31,21,20060527,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,COFFEE/CREAMERS 0833,1383769,6/3/2006,32,22,20060603,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,COFFEE/CREAMERS 0833,1383769,6/10/2006,33,23,20060610,1,0,0,0,0,0,0,0,0,0,0,7,0,0
2,COFFEE/CREAMERS 0833,1383769,6/17/2006,34,24,20060617,1,0,0,0,0,0,0,0,7,0,0,0,0,0
