"WeekInDayFmt","Sku","Store","Sales"
20051029,1383769,1,2
20051210,1383769,1,8
20051217,1383769,1,1
20060225,1383769,1,1
20051112,1383769,2,1
20051126,1383769,2,1
20051203,1383769,2,1
20051210,1383769,2,12
20051217,1383769,2,2
20051231,1383769,2,2
20060121,1383769,2,1
20060128,1383769,2,2
20060311,1383769,2,1
20060318,1383769,2,1
20060325,1383769,2,1
20060415,1383769,2,2
20060429,1383769,2,2
20060520,1383769,2,1
20060610,1383769,2,1
20060617,1383769,2,1
20060624,1383769,2,1
20060701,1383769,2,5
20060715,1383769,2,1
20060722,1383769,2,1
20060729,1383769,2,3
20060812,1383769,2,1
20060826,1383769,2,13
20060902,1383769,2,1
20060916,1383769,2,5
20060930,1383769,2,1
20061007,1383769,2,4
20061021,1383769,2,1
20061028,1383769,2,1
20061111,1383769,2,2
20061202,1383769,2,1
20061223,1383769,2,1
20061230,1383769,2,3
20070106,1383769,2,1
20070113,1383769,2,1
20070120,1383769,2,3
20070203,1383769,2,3
20070210,1383769,2,6
20070217,1383769,2,1
20070224,1383769,2,1
20070317,1383769,2,3
20070324,1383769,2,1
20070512,1383769,2,1
20070519,1383769,2,5
20070630,1383769,2,1
20070707,1383769,2,3
20070714,1383769,2,1
20070721,1383769,2,1
20070728,1383769,2,2
20070804,1383769,2,1
20070811,1383769,2,1
20070825,1383769,2,3
20070908,1383769,2,2
20070922,1383769,2,1
20071006,1383769,2,4
20071013,1383769,2,1
20051029,1383769,3,1
20051126,1383769,3,1
20051210,1383769,3,5
20051217,1383769,3,1
20051231,1383769,3,6
20060107,1383769,3,2
20060114,1383769,3,1
20060121,1383769,3,2
20060225,1383769,3,1
20060304,1383769,3,1
20060318,1383769,3,1
20060325,1383769,3,1
20060401,1383769,3,7
20060506,1383769,3,1
20060513,1383769,3,1
20060527,1383769,3,1
20060603,1383769,3,1
20060610,1383769,3,2
20060617,1383769,3,4
20060624,1383769,3,1
20060701,1383769,3,1
20060722,1383769,3,1
20060729,1383769,3,2
20060812,1383769,3,1
20060826,1383769,3,16
20060916,1383769,3,3
20061007,1383769,3,5
20061021,1383769,3,4
20061118,1383769,3,1
20061230,1383769,3,2
20070120,1383769,3,1
20070127,1383769,3,2
20070210,1383769,3,1
20070224,1383769,3,5
20070303,1383769,3,1
20070331,1383769,3,3
20070414,1383769,3,8
20070421,1383769,3,1
20070512,1383769,3,1
20070616,1383769,3,3
20070630,1383769,3,1
20070707,1383769,3,5
20070721,1383769,3,2
20070804,1383769,3,6
20070825,1383769,3,2
20070908,1383769,3,6
20071013,1383769,3,2
20061104,1383769,4,1
20061111,1383769,4,4
20061118,1383769,4,2
20061125,1383769,4,2
20061209,1383769,4,2
20061216,1383769,4,1
20070106,1383769,4,1
20070210,1383769,4,1
20070224,1383769,4,1
20070310,1383769,4,2
20070317,1383769,4,3
20070414,1383769,4,4
20070421,1383769,4,3
20070512,1383769,4,2
20070519,1383769,4,1
20070721,1383769,4,2
20070728,1383769,4,2
20070804,1383769,4,1
20070825,1383769,4,5
20070901,1383769,4,1
20070908,1383769,4,2
20071006,1383769,4,3
20071013,1383769,4,3
20071020,1383769,4,1
20051203,1383769,5,1
20051210,1383769,5,1
20051217,1383769,5,1
20051224,1383769,5,1
20051210,1383769,7,2
20061007,1383769,7,1
20061014,1383769,7,1
20061021,1383769,7,2
20061028,1383769,7,1
20061104,1383769,7,1
20061111,1383769,7,4
20061125,1383769,7,1
20061209,1383769,7,4
20070106,1383769,7,1
20070120,1383769,7,2
20070224,1383769,7,1
20070317,1383769,7,4
20070331,1383769,7,2
20070414,1383769,7,3
20070421,1383769,7,1
20070616,1383769,7,4
20070623,1383769,7,1
20070714,1383769,7,1
20070721,1383769,7,2
20070804,1383769,7,3
20070811,1383769,7,2
20070825,1383769,7,3
20070908,1383769,7,2
20070915,1383769,7,1
20071006,1383769,7,4
20071013,1383769,7,1
20061021,1383769,8,4
20061104,1383769,8,1
20061111,1383769,8,4
20061202,1383769,8,1
20061209,1383769,8,2
20070106,1383769,8,2
20070210,1383769,8,1
20070217,1383769,8,1
20070310,1383769,8,1
20070317,1383769,8,2
20070324,1383769,8,2
20070331,1383769,8,2
20070414,1383769,8,2
20070505,1383769,8,1
20070512,1383769,8,1
20070519,1383769,8,1
20070526,1383769,8,2
20070616,1383769,8,5
20070623,1383769,8,1
20070707,1383769,8,2
20070714,1383769,8,1
20070721,1383769,8,2
20070804,1383769,8,4
20070811,1383769,8,1
20070825,1383769,8,4
20070908,1383769,8,10
20071006,1383769,8,4
20071013,1383769,8,1
20071020,1383769,8,5
20061021,1383769,9,7
20061104,1383769,9,1
20061111,1383769,9,2
20061118,1383769,9,1
20061125,1383769,9,2
20061209,1383769,9,4
20061216,1383769,9,3
20061223,1383769,9,1
20061230,1383769,9,3
20070106,1383769,9,1
20070120,1383769,9,1
20070210,1383769,9,1
20070217,1383769,9,2
20070224,1383769,9,4
20070317,1383769,9,2
20070407,1383769,9,1
20070414,1383769,9,2
20070421,1383769,9,2
20070428,1383769,9,1
20070505,1383769,9,1
20070512,1383769,9,2
20070519,1383769,9,2
20070609,1383769,9,1
20070616,1383769,9,3
20070721,1383769,9,5
20070804,1383769,9,1
20070825,1383769,9,3
20070908,1383769,9,1
20071006,1383769,9,1
20071013,1383769,9,4
20071020,1383769,9,1
20051105,1383769,10,2
20051112,1383769,10,1
20051119,1383769,10,2
20051203,1383769,10,2
20051210,1383769,10,15
20051217,1383769,10,2
20051224,1383769,10,4
20051231,1383769,10,4
20060121,1383769,10,7
20060211,1383769,10,3
20060218,1383769,10,2
20060225,1383769,10,5
20060304,1383769,10,1
20060318,1383769,10,3
20060325,1383769,10,2
20060401,1383769,10,5
20060415,1383769,10,1
